D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,77.82521637652013,97.84737424901012,103.871376212395,77.70695948463585,97.8356184966136,103.86549069923004,77.57364721138556,97.822537930085,103.8589465962584,77.30072491474273,97.79631776849116,103.84584369493722,0.0,96.93205124115796,103.42502360295744,0.0,0.0,97.83952930943072,0.0,0.0,0.0
1,80.38499373658978,97.82424658436578,103.83981578891124,80.3669716103166,97.81964742081205,103.83745975054649,80.34634868083913,97.81453802540187,103.83488033409328,80.30827048759664,97.804212408311,103.82961717852528,79.5989250667212,97.43611416074248,103.65573675797263,0.0,81.60526256834929,100.22748713035232,0.0,0.0,81.72843559861249
2,84.04218938263848,97.87124235209204,103.82504198246929,84.03852846459635,97.866974447517,103.82275175639052,84.03260493760642,97.86206114345904,103.82019832568092,84.03261987836457,97.85233193760986,103.81506413318856,84.34876452996,97.50603146394828,103.64441561440984,0.0,87.42029703881296,100.30218495880524,0.0,0.0,87.62704571995715
3,86.91192881830587,97.98839423167615,103.82787976038976,86.90927100313067,97.98443799323616,103.8256520564944,86.90936038483309,97.98007961151109,103.82317067720255,86.90510225566025,97.97099429907902,103.81819125962072,87.24001755115574,97.65639573986935,103.65210230707548,0.0,90.67472007320517,100.43966198388698,0.0,0.0,91.06142225720032
4,89.13394531483897,98.1711484544869,103.848531196866,89.13525594646016,98.16742342110086,103.8464059312236,89.1369051605356,98.16340520506448,103.8439843062613,89.13758242882207,98.1557635720583,103.83918061294648,89.40889072295543,97.87638902654486,103.67889658502236,0.0,92.92268374152592,100.63504829999177,0.0,0.0,93.45252424148934
5,90.93035308130052,98.41206849012468,103.88701235256691,90.93061019769569,98.409001929954,103.88493495787438,90.93243955120046,98.40577333605682,103.88263658519504,90.93479332924646,98.39865316731584,103.87811486650394,91.15203593531407,98.15644292311644,103.724667333884,0.0,94.60882946980492,100.87893892596672,0.0,0.0,95.24029875055233
6,92.67661065455168,98.70274344048862,103.9431711563374,92.43047306938678,98.7002898507566,103.94123148616217,92.43190288510044,98.6970354999223,103.93896578984987,92.43316228995562,98.6904753203585,103.9345441783076,92.61140788297568,98.48448629029107,103.7888970290362,0.0,95.95022685768672,101.1615497620451,0.0,0.0,96.69829937282177
7,94.62714917697322,99.03248788222773,104.01635040616571,93.71199670405127,99.03072610093264,104.0145765478282,93.71406521129914,99.0281420689878,104.01246671593805,93.71617682735734,99.02246456409146,104.00839450607955,93.87273769740034,98.8487051679102,103.87085899565852,0.0,97.0663520659458,101.4730580563738,0.0,0.0,97.91543984137375
8,96.57743456430605,99.39208098901642,104.10619771135818,94.83379689539684,99.38984266779735,104.10441098365231,94.83534836931256,99.387854477454,104.10248269240856,94.8376484659243,99.38329518396915,104.09860897601854,94.97789630458922,99.23808226105474,103.96980577960863,0.0,98.00675951602828,101.80456373692176,0.0,0.0,98.94433658721655
9,98.382400676866,99.77122714538277,104.211464538927,95.82830943434811,99.7693484952395,104.20984619840698,95.82959944850128,99.76721188387368,104.20811909258882,95.83296116358107,99.7635585365388,104.2044069174754,95.95809232107143,99.64356641208369,104.08461871129542,0.0,98.82840811495,102.13892049876893,0.0,0.0,99.8360314460514
