D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,102.44075713073444,122.4806546059626,128.50532849017662,102.32240202994858,122.46880064467854,128.49934476797972,102.18898108366058,122.45561140510588,128.49269199205273,101.91584284599593,122.4291753024992,128.47937314965222,0.0,121.55899491783568,128.05263919835343,0.0,0.0,122.44940528259076,0.0,0.0,0.0
1,105.00316884180012,122.45764795592848,128.47379917991202,104.98506715325526,122.45295028092612,128.47134489253045,104.96435700493969,122.44773239210734,128.46865664056912,104.92611167393552,122.43719026461042,128.46317745576172,104.2480218338356,122.0631568593,128.28337796403628,0.0,106.2160522317974,124.83726515458794,0.0,0.0,106.33743976081487
2,108.6656891904464,122.50501016770814,128.4591198291389,108.66195870874972,122.50064374992289,128.45673099523148,108.655957452656,122.49562059631155,128.45406847652976,108.65584084526118,122.48567404422984,128.4487177537785,108.99785925557129,122.1334065727104,128.27213449150315,0.0,112.03112538452552,124.91199586588488,0.0,0.0,112.2360564226376
3,111.54143750412952,122.62277536408976,128.46211627351462,111.53870499092292,122.61871938739782,128.45978963734257,111.53872319939174,122.61425097972176,128.4571988248977,111.53431524147524,122.60494555267616,128.45200195162263,111.88908206083612,122.2843243004754,128.2799518100564,0.0,115.28629268907235,125.049489410926,0.0,0.0,115.67043500211778
4,113.76968800131742,122.80638223403214,128.48299180772815,113.77092381281246,122.80255524809073,128.48076719722897,113.77249630703828,122.79842493007132,128.4782352082043,113.77301603300076,122.79056255369278,128.4732126939398,114.0579230295949,122.5050927806212,128.3069303108221,0.0,117.53428076572384,125.24489849890875,0.0,0.0,118.0615793866899
5,115.5724394455864,123.04838068729514,128.52176282159132,115.57260677940938,123.04521134578114,128.51958495410435,115.57434963290004,123.04186998768766,128.5171755443642,115.57653039396594,123.03452305362676,128.51243379644393,115.80104282942946,122.78610790420744,128.3529392152799,0.0,119.22044348438436,125.48881772181376,0.0,0.0,119.8493547892242
6,117.07683379984886,123.34033999915704,128.57827757444105,117.07885480426933,123.3377825722674,128.57623669054192,117.0801852804499,123.33441119442406,128.57385841028142,117.08124454951464,123.3276184478468,128.56921383137976,117.2603833367058,123.115288974182,128.4174603267433,0.0,120.56185954440215,125.77146251698204,0.0,0.0,121.30735575219607
7,118.36758748444178,123.67155724265416,128.6518770317429,118.36677629169525,123.66969023315292,128.65000111228863,118.36873725681492,123.66698717413976,128.647777649859,118.37062965407785,123.66107105603206,128.64348053535787,118.52169163450256,123.48080222858256,128.49976616265286,0.0,121.67800458090278,126.08300958806974,0.0,0.0,122.52452067529272
8,119.4930931488301,124.03279079002134,128.742209514972,119.49500339740472,124.0304403035814,128.74031869826914,119.49643277910532,124.02833054675172,128.73827559966745,119.49849125086804,124.02352717723625,128.73417373404095,119.643390875844,123.871609078141,128.59910881813758,0.0,122.61840950594842,126.41455833224516,0.0,0.0,123.55341727231476
9,120.4962713230976,124.41371678617452,128.848022822659,120.495947475477,124.41172262233776,128.84629914887992,120.4971017213733,124.40945824871751,128.84445592255602,120.50020530114026,124.40555409726151,128.84051176639286,120.62356340565276,124.27863934792605,128.71436799331744,0.0,123.44007726629394,126.7489851309543,0.0,0.0,124.44512950699844
