D (km),h1=1.5_h2=1000,h1=1.5_h2=10000,h1=1.5_h2=20000,h1=15_h2=1000,h1=15_h2=10000,h1=15_h2=20000,h1=30_h2=1000,h1=30_h2=10000,h1=30_h2=20000,h1=60_h2=1000,h1=60_h2=10000,h1=60_h2=20000,h1=1000_h2=1000,h1=1000_h2=10000,h1=1000_h2=20000,h1=10000_h2=1000,h1=10000_h2=10000,h1=10000_h2=20000,h1=20000_h2=1000,h1=20000_h2=10000,h1=20000_h2=20000
0,66.99663567080839,87.01036001889756,93.032923813755,66.87839616584253,86.99862165342009,93.02705568770612,66.74510320599987,86.98556040029885,93.02053089801647,66.4722195190131,86.95937884836145,93.00746660643809,0.0,86.09630889546789,92.58784309145317,0.0,0.0,87.01078234995902,0.0,0.0,0.0
1,69.46433742067602,86.98576577557014,93.0010399304449,69.45554727987202,86.98285094835184,92.9995371098189,69.44526169960889,86.97960794017008,92.9979077876596,69.42768313682016,86.97302882883501,92.99454188188652,69.21558993257297,86.72276019102557,92.88015218103224,0.0,71.89697446387036,90.04052040913163,0.0,0.0,72.07124461013905
2,73.73808212580937,87.02785383037995,92.9850084172845,73.0404932068533,87.02523420098642,92.98357123219648,73.03968499093064,87.02216748139477,92.98196626930635,73.04969980343711,87.01612070445339,92.97872630456295,73.62664221247715,86.78539824062157,92.8674561162582,0.0,77.63580503568114,90.1087464388523,0.0,0.0,77.921358821549
3,79.28481794029767,87.13709654781194,92.9857537265952,75.8715909881113,87.13474154188322,92.98437311015503,75.87436233929965,87.13216384958616,92.98283390779116,75.87553125026437,87.1266615799858,92.97973957185845,76.36838921230827,86.92372484070533,92.87269860938842,0.0,80.78842454066731,90.23492490380058,0.0,0.0,81.31958935366681
4,83.14930183589145,87.30944548028243,93.00349225403497,78.07532991426537,87.3072628808596,93.00220402991694,78.07880206938538,87.30495770433717,93.00072010525606,78.08315769642634,87.3007207784442,92.99778644092872,78.46259585885782,87.12785415594882,92.89600315893172,0.0,82.94776870447944,90.41501425558349,0.0,0.0,83.6696185740238
5,85.58249106663962,87.53809773785731,93.03827758493009,79.85627783324946,87.53648005572272,93.0370312302408,79.85946155399003,87.53485970283128,93.03565697330444,79.86454095317173,87.53098979536253,93.03297672849595,80.16124886410978,87.38935104205275,92.93728347825392,0.0,84.5481723902707,90.64031485269987,0.0,0.0,85.40223294315095
6,88.45593971418414,87.81572891802031,93.09000513240946,81.34591079180407,87.81454931551646,93.08888056146152,81.34840832995069,87.81274070107601,93.08753082527008,81.35182004652609,87.80907650314786,93.0849332057308,81.59255489999207,87.69713202130967,92.996098868999,0.0,85.81058224185507,90.90177545571188,0.0,0.0,86.81454960942892
7,90.949256231527,88.13213991835454,93.15809931722607,82.61969946356342,88.13155409526065,93.15712150073853,82.62263863340074,88.13030972028693,93.15590799090896,82.62650825325873,88.12733450086611,93.15361914696057,82.83572943669365,88.0403236565799,93.07181143744415,0.0,86.85527840012688,91.1903097933168,0.0,0.0,87.98772166786608
8,93.1396232331236,88.47826749291987,93.24226310578028,83.7353267500744,88.47714995688304,93.24126297192817,83.73761468294785,88.47639818589849,93.24020830250208,83.74139597590305,88.47433626217338,93.23808369179795,83.92383802953253,88.40867982704843,93.16376241296815,0.0,87.72922814920545,91.49768474948569,0.0,0.0,88.97094393807244
9,95.10177366811284,88.84421501291062,93.34135677075484,84.72473575103483,88.843371161148,93.34050249907874,84.72666197990178,88.84239554594808,93.33962381974202,84.73129518985243,88.84104688557042,93.33762429543626,84.89391895480965,88.7936926292965,93.27094566701784,0.0,88.49080789562444,91.80512018403614,0.0,0.0,89.81807135209884
10,96.86899747927856,89.22253880406029,93.45474008929423,85.61479953226865,89.22257242358786,93.45404171911288,85.6170601627261,89.22179300744774,93.4533509737336,85.6202073574039,89.22093489639043,93.45169068252534,85.76492081283787,89.18724430600565,93.39238688535453,0.0,89.15807632523321,92.11613497982542,0.0,0.0,90.56692417139668
